"Name","ResourceType","ResourceGroupName","Location","SubscriptionId","Sku","Kind","Tags","ResourceId"
"AGOwner","Microsoft.Insights/actiongroups","Default-ActivityLogAlerts","global","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/Default-ActivityLogAlerts/providers/Microsoft.Insights/actiongroups/AGOwner"
"mcaps97700b11998514dc","Microsoft.Storage/storageAccounts","McapsGovernance","westus2","1acecba7-23bd-4d4d-9770-0b11998514dc","Standard_LRS","StorageV2","CreatedByPolicy=MCAPS Governance Team;Action=Do Not Delete;Contact=https://aka.ms/mcapsazuresupport","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/McapsGovernance/providers/Microsoft.Storage/storageAccounts/mcaps97700b11998514dc"
"mcaps97700b11998514dc-9737a4b1-9aaf-4d87-80cc-79a87f80bd37","Microsoft.EventGrid/systemTopics","mcapsgovernance","westus2","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/mcapsgovernance/providers/Microsoft.EventGrid/systemTopics/mcaps97700b11998514dc-9737a4b1-9aaf-4d87-80cc-79a87f80bd37"
"NetworkWatcher_japaneast","Microsoft.Network/networkWatchers","NetworkWatcherRG","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_japaneast"
"stdemogootyszw77dgs","Microsoft.Storage/storageAccounts","rg-inventory-demo","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc","Standard_LRS","StorageV2","project=AzureInventoryDemo;env=demo;owner=demo","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Storage/storageAccounts/stdemogootyszw77dgs"
"nsg-demo-shared","Microsoft.Network/networkSecurityGroups","rg-inventory-demo","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"project=AzureInventoryDemo;env=demo;owner=demo","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/nsg-demo-shared"
"nsg-demo-app","Microsoft.Network/networkSecurityGroups","rg-inventory-demo","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"project=AzureInventoryDemo;env=demo;owner=demo","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/nsg-demo-app"
"nsg-demo-web","Microsoft.Network/networkSecurityGroups","rg-inventory-demo","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"project=AzureInventoryDemo;env=demo;owner=demo","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/nsg-demo-web"
"nsg-demo-mgmt","Microsoft.Network/networkSecurityGroups","rg-inventory-demo","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"project=AzureInventoryDemo;env=demo;owner=demo","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/nsg-demo-mgmt"
"nsg-demo-db","Microsoft.Network/networkSecurityGroups","rg-inventory-demo","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"project=AzureInventoryDemo;env=demo;owner=demo","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/nsg-demo-db"
